name,categoria,subcategoria,carbs_g,protein_g,fat_g,fiber_g,sodium_mg,kcal,aliases,density_g_ml,epf,yield_from_state,yield_to_state,yield_factor
Cebola crua,vegetal,bulbo,9.3,1.2,0.1,2.0,4,40,cebola|cebôla,,,
Alface crespa,vegetal,folha,2.9,1.4,0.2,2.2,3,15,alface|alface crespa,,,
Tomate cru,vegetal,fruto,3.9,0.9,0.2,1.2,5,18,tomate|tomate saladete,,,
Arroz integral cozido,cereal,arroz,23.0,2.6,1.8,1.8,2,124,arroz integral|arroz marron,,,cru,cozido,2.5
Feijão carioca cozido,leguminosa,feijao,14.0,8.6,0.5,8.5,1,127,feijao carioca|feijão carioca,,,cru,cozido,2.8
Carne bovina grelhada,proteina,carne,0.0,26.0,15.0,0.0,70,250,carne grelhada|bife grelhado|patinho grelhado,,,
Peixe grelhado,proteina,peixe,0.0,22.0,3.0,0.0,60,120,peixe|filé de peixe grelhado,,,
Ovo cozido,proteina,ovo,1.1,13.0,11.0,0.0,124,155,ovo|ovo de galinha,,,
Pão francês,carboidrato,pao,58.0,8.0,3.0,2.3,600,300,pao frances|pão|pao,,,
Queijo minas,frios,queijo,3.0,18.0,20.0,0.0,400,265,queijo branco|minas,,,
Batata cozida,vegetal,raiz,18.0,2.0,0.1,1.8,3,86,batata|batata inglesa,,,cru,cozido,0.8
Batata assada,vegetal,raiz,21.0,2.5,0.2,2.2,3,93,batata no forno|batata assada,,,cru,assado,0.8
Cenoura crua,vegetal,raiz,9.6,0.9,0.2,2.8,69,41,cenoura,,,
Brócolis cozido,vegetal,crucifero,7.0,2.8,0.4,3.3,41,35,brocolis|brócolis,,,cru,cozido,0.9
Couve-flor cozida,vegetal,crucifero,5.0,1.9,0.3,2.0,15,25,couve flor|couve-flor,,,cru,cozido,0.85
Abobrinha cozida,vegetal,fruto,3.1,1.2,0.1,1.1,1,20,abobrinha,,,
Pepino cru,vegetal,fruto,3.6,0.7,0.1,0.5,2,15,pepino,,,
Pimentão verde cru,vegetal,fruto,4.6,1.0,0.2,1.7,2,20,pimentao|pimentão,,,
Farofa pronta,acompanhamento,farofa,64.0,2.0,7.0,8.0,10,400,farofa|farinha de mandioca torrada,,,
Molho vinagrete,condimento,molho,3.0,0.5,2.0,0.8,200,35,vinagrete|molho vinagrete,,,
Suco de laranja,bebida,suco,10.0,0.7,0.2,0.2,2,45,suco de laranja|suco laranja|suco,1.04,,,
Refrigerante cola,bebida,refrigerante,10.6,0.0,0.0,0.0,5,42,refrigerante|refrigerante cola,1.00,,,
Leite integral,bebida,leite,4.8,3.2,3.5,0.0,50,61,leite|leite integral,1.03,,,
Café sem açúcar,bebida,cafe,0.0,0.2,0.0,0.0,5,2,cafe|café,1.00,,,
Azeitona verde,acompanhamento,conserva,6.0,1.0,15.0,3.0,1550,145,azeitona|azeitona verde,,,
Manteiga,condimento,gordura,0.0,0.5,81.0,0.0,11,717,manteiga,,,
Iogurte natural integral,laticinio,iogurte,4.7,3.5,3.0,0.0,50,61,iogurte natural|iogurte,,,
Granola,carboidrato,cereal,64.0,10.0,7.0,8.0,10,400,granola,,,
Macarrão cozido,carboidrato,massa,25.0,5.0,1.1,1.4,6,157,macarrao|massa cozida,,,cru,cozido,1.8
Queijo parmesão ralado,frios,queijo,3.0,35.0,25.0,0.0,1200,431,parmesao ralado|queijo ralado,,,






